id_beneficiaire;region;zone;genre;activite_principale;montant_pret_fcfa;revenu_avant_fcfa;revenu_apres_fcfa;variation_revenu_pct;taux_remboursement_pct;defaut_flag;score_risque;profil_accompagnement;action_terrain
BEN-0001;Vallee du Bandama;Semi-urbain;Femme;Commerce;296000;163400.0;125400;6.9;75.2;0;39.3;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0002;Cavally;Semi-urbain;Femme;Artisanat;244000;87300.0;80300;-8.0;65.7;1;55.4;VULNÉRABLE : Renforcement capacités (Faible impact);FORMATION : Inscription module gestion
BEN-0003;Cavally;Urbain;Homme;Artisanat;353000;124400.0;194700;56.5;64.4;0;31.6;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0004;Zanzan;Rural;Homme;Transformation;489000;125100.0;151400;21.0;49.6;1;77.2;ALERTE : Tutorat obligatoire (Risque élevé);URGENT : Visite de contrôle sous 48h
BEN-0005;Zanzan;Urbain;Femme;Artisanat;586000;269600.0;363000;34.6;100.0;0;61.3;ALERTE : Tutorat obligatoire (Risque élevé);URGENT : Visite de contrôle sous 48h
BEN-0006;Vallee du Bandama;Semi-urbain;Femme;Agriculture;277000;78700.0;104000;32.1;94.1;0;18.8;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0007;Belier;Urbain;Femme;Agriculture;244000;228600.0;354000;54.9;100.0;1;64.7;ALERTE : Tutorat obligatoire (Risque élevé);URGENT : Visite de contrôle sous 48h
BEN-0008;Zanzan;Semi-urbain;Femme;Elevage;441000;130100.0;301400;46.4;75.6;0;31.4;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0009;Cavally;Urbain;Femme;Commerce;585000;386700.0;468400;21.1;86.3;1;61.0;ALERTE : Tutorat obligatoire (Risque élevé);URGENT : Visite de contrôle sous 48h
BEN-0010;Marahoue;Semi-urbain;Femme;Agriculture;355000;139300.0;180100;29.3;76.4;0;22.1;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0011;Zanzan;Rural;Femme;Agriculture;723000;190500.0;191800;0.7;100.0;1;37.8;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0012;Marahoue;Rural;Homme;Commerce;240000;79500.0;80900;1.8;61.2;0;45.5;VULNÉRABLE : Renforcement capacités (Faible impact);FORMATION : Inscription module gestion
BEN-0013;Vallee du Bandama;Semi-urbain;Femme;Artisanat;435000;206000.0;251500;22.1;100.0;0;26.8;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0014;Marahoue;Urbain;Homme;Artisanat;313000;229100.0;364800;59.2;89.3;0;59.1;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0015;Vallee du Bandama;Rural;Homme;Agriculture;938000;498700.0;598000;19.9;95.1;0;73.1;ALERTE : Tutorat obligatoire (Risque élevé);URGENT : Visite de contrôle sous 48h
BEN-0016;Zanzan;Rural;Femme;Elevage;192000;122800.0;158700;29.2;95.7;1;45.5;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0017;Belier;Rural;Femme;Services;72000;88200.0;94800;7.5;90.8;1;51.8;VULNÉRABLE : Renforcement capacités (Faible impact);FORMATION : Inscription module gestion
BEN-0018;Cavally;Rural;Femme;Artisanat;290000;156600.0;168800;7.8;100.0;0;22.4;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0019;Zanzan;Rural;Femme;Services;253000;126500.0;157300;24.3;59.3;1;47.9;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0020;Vallee du Bandama;Rural;Femme;Agriculture;356000;122100.0;130400;6.8;95.5;0;42.3;VULNÉRABLE : Renforcement capacités (Faible impact);FORMATION : Inscription module gestion
BEN-0021;Belier;Semi-urbain;Femme;Commerce;200000;134500.0;178800;32.9;100.0;0;51.7;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0022;Cavally;Rural;Homme;Services;302000;122700.0;157100;28.0;90.8;1;63.5;ALERTE : Tutorat obligatoire (Risque élevé);URGENT : Visite de contrôle sous 48h
BEN-0023;Zanzan;Rural;Femme;Artisanat;327000;265700.0;368000;38.5;96.1;0;55.3;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0024;Vallee du Bandama;Urbain;Femme;Agriculture;437000;147800.0;205100;38.8;100.0;1;31.0;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0025;Cavally;Semi-urbain;Homme;Elevage;506000;166100.0;220500;32.8;82.2;0;33.9;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0026;Cavally;Rural;Homme;Elevage;279000;214100.0;267300;24.8;84.3;0;45.2;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0027;Vallee du Bandama;Semi-urbain;Femme;Elevage;278000;121800.0;160500;31.8;100.0;0;39.0;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0028;Belier;Rural;Homme;Agriculture;276000;89400.0;104700;17.1;97.0;1;32.2;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0029;Vallee du Bandama;Rural;Femme;Elevage;320000;287100.0;233600;-18.6;100.0;0;44.5;VULNÉRABLE : Renforcement capacités (Faible impact);FORMATION : Inscription module gestion
