id_beneficiaire,region,zone,genre,age,statut_matrimonial,niveau_education,activite_principale,type_pret,groupe_solidarite,nb_cycles_anterieurs,nb_membres_menage,tontine_avant,mobile_money,montant_pret_fcfa,duree_pret_mois,distance_service_km,revenu_avant_fcfa,revenu_apres_fcfa,variation_revenu_pct,epargne_fcfa,emplois_crees,taux_remboursement_pct,score_satisfaction,defaut_flag
BEN-0001,Vallee du Bandama,Semi-urbain,Femme,42,Marie(e),Primaire,Commerce,Solidaire,Groupe C,1,8,Non,Oui,296000,18,13.1,,125400,6.9,10600,2,75.2,4.7,0
BEN-0002,Cavally,Semi-urbain,Femme,30,Marie(e),Primaire,Artisanat,Individuel,Groupe B,2,3,Oui,Non,244000,24,0.5,87300,80300,-8.0,9300,1,65.7,2.6,1
BEN-0003,Cavally,Urbain,Homme,34,Celibataire,Secondaire,Artisanat,Individuel,Groupe A,1,3,Oui,Oui,353000,12,2.3,124400,194700,56.5,6100,2,64.4,3.3,0
BEN-0004,Zanzan,Rural,Homme,35,Marie(e),Aucun,Transformation,Individuel,Groupe C,3,5,Oui,Non,489000,12,38.5,125100,151400,21.0,4400,1,49.6,2.6,1
BEN-0005,Zanzan,Urbain,Femme,31,Marie(e),Superieur,Artisanat,Individuel,Groupe B,2,4,Oui,Oui,586000,6,0.5,269600,363000,34.6,13400,0,100.0,,0
BEN-0006,Vallee du Bandama,Semi-urbain,Femme,43,Marie(e),Secondaire,Agriculture,Individuel,Groupe C,2,7,Non,Oui,277000,6,42.5,78700,104000,32.1,3700,1,94.1,4.5,0
BEN-0007,Belier,Urbain,Femme,18,Marie(e),Primaire,Agriculture,Solidaire,Groupe B,2,6,Oui,Non,244000,18,39.6,228600,354000,54.9,10300,4,100.0,3.0,1
BEN-0008,Zanzan,Semi-urbain,Femme,33,Veuf/Veuve,Superieur,Elevage,Solidaire,Groupe C,1,2,Non,Oui,441000,36,5.2,,301400,46.4,7600,0,75.6,3.2,0
BEN-0009,Cavally,Urbain,Femme,32,Veuf/Veuve,Primaire,Commerce,Solidaire,Groupe C,2,3,Non,Oui,585000,12,0.5,386700,468400,21.1,11500,4,86.3,3.2,1
BEN-0010,Marahoue,Semi-urbain,Femme,40,Divorce(e),Secondaire,Agriculture,Individuel,Groupe B,1,5,Non,Oui,355000,12,13.6,139300,180100,29.3,8300,3,76.4,3.6,0
BEN-0011,Zanzan,Rural,Femme,44,Celibataire,Secondaire,Agriculture,Solidaire,Groupe A,0,3,Oui,Oui,723000,18,21.4,190500,191800,0.7,,2,100.0,1.8,1
BEN-0012,Marahoue,Rural,Homme,25,Marie(e),Primaire,Commerce,Individuel,Groupe B,2,5,Oui,Oui,240000,12,27.0,79500,80900,1.8,3700,2,61.2,4.1,0
BEN-0013,Vallee du Bandama,Semi-urbain,Femme,53,Veuf/Veuve,Secondaire,Artisanat,Solidaire,Groupe B,2,3,Non,Oui,435000,12,1.5,206000,251500,22.1,4200,1,100.0,5.0,0
BEN-0014,Marahoue,Urbain,Homme,32,Marie(e),Aucun,Artisanat,Solidaire,Groupe C,3,7,Oui,Oui,313000,6,5.5,229100,364800,59.2,52500,1,89.3,3.2,0
BEN-0015,Vallee du Bandama,Rural,Homme,35,Celibataire,Secondaire,Agriculture,Solidaire,Groupe B,1,7,Oui,Non,938000,12,26.6,498700,598000,19.9,23900,1,95.1,5.0,0
BEN-0016,Zanzan,Rural,Femme,37,Celibataire,Primaire,Elevage,Solidaire,Groupe C,2,9,Oui,Non,192000,12,15.9,122800,158700,29.2,7600,0,95.7,2.9,1
BEN-0017,Belier,Rural,Femme,39,Celibataire,Primaire,Services,Solidaire,Groupe A,1,4,Oui,Non,72000,18,16.0,88200,94800,7.5,3600,2,,2.6,1
BEN-0018,Cavally,Rural,Femme,54,Marie(e),Secondaire,Artisanat,Solidaire,Groupe C,4,6,Non,Oui,290000,18,16.7,156600,168800,7.8,7900,1,100.0,4.8,0
BEN-0019,Zanzan,Rural,Femme,46,Marie(e),Primaire,Services,Individuel,Groupe A,1,4,Oui,Oui,253000,36,22.7,126500,157300,24.3,,2,59.3,3.4,1
BEN-0020,Vallee du Bandama,Rural,Femme,25,Marie(e),Aucun,Agriculture,Solidaire,Groupe A,3,8,Non,Oui,356000,12,19.1,122100,130400,6.8,4600,1,95.5,5.0,0
